"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"The Chicago School of Professional Psychology at Westwood (Los Angeles, CA)",Private nonprofit,2014,278,,NA,229,82%,115,41%,1,6,45,50,0,141,13,17,5,2014,NA
"Globe UniversityMadison West (Middleton, WI)",For-profit,2016,278,108,59%,211,76%,73,26%,1,6,45,19,1,190,1,15,0,2015,2015
"Instituto de Educacion Tecnica Ocupacional La Reine-Manati (Manati, PR)",For-profit,2018,276,276,100%,168,61%,276,100%,0,0,0,276,0,0,0,0,0,2017,2017
"Mr Bernard's School of Hair Fashion Inc (Lewiston, ME)",For-profit,2015,275,138,64%,265,96%,28,10%,7,1,5,1,7,225,7,21,1,2014,2013
"Everest University-Lakeland (Lakeland, FL)",Private nonprofit,2016,274,283,77%,219,80%,153,56%,2,3,83,50,1,118,14,3,0,2016,2015
"San Diego College (San Diego, CA)",For-profit,2016,272,204,50%,213,78%,180,66%,0,6,72,89,2,72,11,20,0,2015,2014
"Eternity Cosmetology School Corp (West Palm Beach, FL)",For-profit,2018,272,160,59%,254,93%,260,96%,0,0,0,258,0,0,2,0,12,2017,2017
"Cleveland Institute of Dental-Medical Assistants-Cleveland (Cleveland, OH)",For-profit,2018,272,223,82%,251,92%,252,93%,0,0,244,7,0,20,1,0,0,2017,2017
"Everest College-Torrance (Torrance, CA)",For-profit,2015,271,194,72%,220,81%,220,81%,0,30,34,129,11,27,16,24,0,2014,2014
"Everest University-Brandon (Tampa, FL)",Private nonprofit,2018,270,131,81%,217,80%,156,58%,2,1,122,17,3,102,11,12,0,2017,2017
"Ohio Business College-Dayton (Dayton, OH)",For-profit,2015,269,31,12%,46,17%,118,44%,0,2,115,1,0,150,0,1,0,2014,2014
"Star Career Academy-Audubon (Audubon, PA)",For-profit,2016,267,243,66%,232,87%,175,66%,1,2,116,43,0,83,13,9,0,2016,2015
"Illinois School of Health Careers-O'Hare Campus (Chicago, IL)",For-profit,2016,267,300,73%,248,93%,190,71%,0,4,68,115,0,30,3,47,0,2014,2013
"ITT Technical Institute-Clive (Clive, IA)",For-profit,2016,263,102,69%,44,17%,75,29%,0,9,40,21,0,180,5,8,0,2015,2015
"Wyotech-Daytona (Ormond Beach, FL)",Private nonprofit,2018,261,132,51%,13,5%,47,18%,2,2,21,13,0,211,9,3,0,2017,2017
"Minnesota School of Business-Lakeville (Lakeville, MN)",For-profit,2016,261,101,52%,183,70%,22,8%,4,2,8,6,2,205,0,34,0,2015,2015
"Globe University-Madison East (Madison, WI)",For-profit,2016,261,136,63%,218,84%,52,20%,2,3,31,13,3,204,0,5,0,2016,2015
"Le Cordon Bleu College of Culinary Arts-Austin (Austin, TX)",For-profit,2017,260,266,44%,125,48%,142,55%,4,8,50,77,1,90,2,28,0,2017,2016
"Minnesota School of Business-Blaine (Blaine, MN)",For-profit,2017,258,130,54%,170,66%,29,11%,1,6,17,4,1,210,0,19,0,2016,2015
"Sanford-Brown College-Dallas (Dallas, TX)",For-profit,2016,257,274,56%,234,91%,94,37%,4,9,35,42,0,38,4,125,0,2016,2015
"Dewey University-Mayaguez (Mayaguez, PR)",Private nonprofit,2018,256,152,79%,162,63%,256,100%,0,0,0,256,0,0,0,0,0,2017,2017
"Omega Institute (Pennsauken, NJ)",For-profit,2015,256,171,67%,212,83%,181,71%,0,1,86,87,0,74,7,1,0,2014,2014
"ITT Technical Institute-Madison (Madison, WI)",For-profit,2016,254,108,77%,70,28%,90,35%,3,7,49,18,0,160,13,4,0,2015,2015
"Morthland College (West Frankfort, IL)",Private nonprofit,2018,253,65,52%,33,13%,193,76%,3,0,157,21,0,57,12,3,0,2017,2017
"Kaplan Career Institute-Dearborn (Dearborn, MI)",For-profit,2014,253,150,59%,144,57%,208,82%,0,0,199,9,0,38,0,7,0,2013,2013
"Brookstone College-Greensboro (Greensboro, NC)",For-profit,2015,252,97,38%,234,93%,167,66%,0,6,149,9,0,49,3,36,0,2014,2014
"Westwood College-Dupage (Woodridge, IL)",For-profit,2016,252,105,67%,102,40%,115,46%,0,1,38,68,0,46,8,91,0,2015,2015
"Preferred College of Nursing-Los Angeles (Los Angeles, CA)",For-profit,2015,251,105,42%,188,75%,244,97%,0,105,50,81,0,7,8,0,0,2014,2014
"Professional Careers Institute (Houston, TX)",For-profit,2016,250,88,35%,225,90%,213,85%,0,4,145,59,3,30,2,7,0,2015,2015
"Everest College-Newport News (Newport News, VA)",Private nonprofit,2018,249,143,77%,216,87%,215,86%,1,1,186,10,2,28,15,6,0,2016,2016
"National American University-Wichita West (Wichita, KS)",For-profit,2018,246,105,78%,187,76%,90,37%,5,2,55,21,1,139,6,17,0,2017,2017
"Ohio Business College-Hilliard (Hilliard, OH)",For-profit,2017,246,103,84%,216,88%,89,36%,0,2,69,17,0,152,1,5,0,2016,2016
"Allied Health Careers (Austin, TX)",For-profit,2014,246,213,87%,210,85%,159,65%,1,0,26,129,0,84,3,3,0,2013,2013
"Sanford-Brown College-Indianapolis (Indianapolis, IN)",For-profit,2014,245,124,51%,225,92%,66,27%,0,0,61,3,1,12,1,167,0,2013,2013
"Ohio Technical College-PowerSport Institute (North Randall, OH)",For-profit,2017,244,130,53%,8,3%,48,20%,1,0,27,12,0,195,8,1,0,2017,2017
"Le Cordon Bleu College of Culinary Arts-Las Vegas (Las Vegas, NV)",For-profit,2017,241,315,58%,120,50%,99,41%,5,23,51,9,6,68,5,74,0,2017,2016
"Harris School of Business-Hamilton Campus (Hamilton, NJ)",For-profit,2018,241,167,69%,193,80%,174,72%,1,2,110,51,0,61,10,6,0,2017,2017
"Sanford-Brown Institute-Iselin (Iselin, NJ)",For-profit,2016,240,370,53%,216,90%,77,32%,0,4,18,54,0,70,1,93,0,2016,2015
"Trinity Lutheran College (Everett, WA)",Private nonprofit,2016,239,111,51%,121,51%,103,43%,5,14,36,43,4,121,1,5,10,2015,2015
"International Professional School of Bodywork (San Diego, CA)",For-profit,2016,239,52,28%,175,73%,93,39%,5,8,14,42,0,130,24,15,1,2016,2015
"Beauty Schools of America (Miami Beach, FL)",For-profit,2018,237,194,82%,193,81%,204,86%,0,1,45,145,0,19,13,14,0,2017,2017
"ITT Technical Institute-St Petersburg (Tampa, FL)",For-profit,2017,234,118,78%,114,49%,101,43%,1,8,60,25,0,127,7,6,0,2015,2015
"Euphoria Institute of Beauty Arts & Sciences-Green Valley (Henderson, NV)",For-profit,2016,233,155,67%,224,96%,126,54%,0,8,24,70,3,102,21,5,0,2016,2016
"DeVry University-Utah (Sandy, UT)",For-profit,2015,232,49,53%,65,28%,47,20%,3,6,11,21,4,143,2,35,7,2014,2014
"Globe University-Appleton (Grand Chute, WI)",For-profit,2016,232,120,59%,211,91%,19,8%,1,3,8,6,1,208,0,5,0,2016,2015
"Trumbull Business College (Warren, OH)",For-profit,2017,232,136,86%,187,81%,61,26%,0,0,51,3,0,171,7,0,0,2016,2016
"American InterContinental University-South Florida (Weston, FL)",For-profit,2015,231,96,65%,110,48%,169,73%,1,0,97,67,0,11,4,51,0,2014,2014
"Altierus Career College-Columbus (Gahanna, OH)",Private nonprofit,2018,229,155,68%,198,86%,138,60%,1,7,101,16,1,89,12,2,0,2017,2017
"Florida College of Natural Health-Bradenton (Bradenton, FL)",For-profit,2015,229,177,77%,187,82%,74,32%,1,2,40,29,0,129,2,26,0,2014,2014
"Capitol City Trade and Technical School (Austin, TX)",For-profit,2014,229,194,85%,7,3%,143,62%,2,6,35,98,2,84,0,2,0,2013,2013
"Everest College-Springfield (Springfield, MO)",Private nonprofit,2017,228,122,79%,177,78%,40,18%,1,0,19,13,3,186,4,2,0,2016,2016
"Stenotype Institute of Jacksonville Inc-Jacksonville (Jacksonville, FL)",For-profit,2016,228,105,64%,208,91%,73,32%,0,2,50,19,2,155,0,0,0,2015,2015
"The English Center (Oakland, CA)",Private nonprofit,2016,227,70,85%,133,59%,168,74%,0,68,25,75,0,46,0,0,13,2016,2015
"Fortis College School of Cosmetology (Mobile, AL)",For-profit,2014,226,182,81%,165,73%,158,70%,0,4,152,1,0,67,1,1,0,2013,2013
"Cactus Academy (Garden City, NY)",For-profit,2016,225,97,43%,218,97%,86,38%,0,3,54,28,1,128,0,10,1,2015,2015
"Globe University-La Crosse (Onalaska, WI)",For-profit,2016,225,110,62%,178,79%,18,8%,1,4,3,10,0,204,0,3,0,2016,2015
"Harrison College-Morrisville (Morrisville, NC)",For-profit,2018,224,87,62%,138,62%,162,72%,1,2,125,13,0,55,21,7,0,2017,2017
"Southeastern College-Jacksonville (Jacksonville, FL)",For-profit,2017,223,73,51%,187,84%,130,58%,0,3,111,13,0,92,3,1,0,2016,2016
"Paul Mitchell the School-St George (Washington, UT)",For-profit,2015,222,119,54%,206,93%,39,18%,5,1,3,22,2,173,6,10,0,2014,2014
"DeVry University-Maryland (Bethesda, MD)",For-profit,2014,221,36,57%,113,51%,148,67%,1,10,119,17,0,32,1,11,30,2014,2014
"Sanford-Brown College-Fenton (Fenton, MO)",For-profit,2015,221,128,59%,172,78%,27,12%,1,0,18,6,0,62,2,132,0,2014,2014
"The Art Institute of St Louis (St Charles, MO)",For-profit,2017,221,286,72%,119,54%,98,44%,1,3,84,8,2,120,0,3,0,2017,2016
"National American University-Lewisville (Lewisville, TX)",For-profit,2018,221,94,79%,152,69%,139,63%,1,0,110,23,0,75,5,7,0,2017,2017
"Skyline College-Roanoke (Roanoke, VA)",For-profit,2015,220,135,71%,168,76%,84,38%,1,1,75,3,0,136,4,0,0,2015,2015
"The Salter School-Tewksbury Campus (Tewksbury, MA)",For-profit,2016,218,113,52%,184,84%,105,48%,1,9,24,68,0,108,3,5,0,2016,2016
"Le Cordon Bleu College of Culinary Arts-Seattle (Tukwila, WA)",For-profit,2017,217,207,48%,94,43%,67,31%,6,19,27,5,9,107,1,43,0,2017,2016
"Sanford-Brown Institute-Jacksonville (Jacksonville, FL)",For-profit,2016,217,220,65%,204,94%,43,20%,2,3,30,7,0,54,1,120,0,2016,2015
"Career Point College (Tulsa, OK)",For-profit,2016,217,357,85%,208,96%,80,37%,0,0,68,12,0,130,0,7,0,2015,2015
"Rudolf Steiner College (Fair Oaks, CA)",Private nonprofit,2017,216,0,0%,191,88%,24,11%,1,11,0,9,1,126,2,40,26,2016,2015
"Minnesota School of Business-Waite Park (Waite Park, MN)",For-profit,2017,216,130,60%,164,76%,26,12%,7,1,8,10,0,180,0,10,0,2016,2015
"Pinnacle College (Alhambra, CA)",For-profit,2016,216,133,62%,20,9%,143,66%,1,5,56,74,0,70,7,3,0,2015,2015
"Yorktowne Business Institute (York, PA)",For-profit,2015,216,93,79%,167,77%,103,48%,0,2,75,26,0,113,0,0,0,2014,2014
"Sanford-Brown College-Atlanta (Atlanta, GA)",For-profit,2017,214,90,45%,195,91%,42,20%,0,2,31,7,0,7,2,165,0,2016,2016
"Cambria-Rowe Business College-Johnstown (Johnstown, PA)",For-profit,2016,214,100,74%,173,81%,33,15%,1,0,26,0,0,181,6,0,0,2015,2015
"Brookstone College-Charlotte (Charlotte, NC)",For-profit,2015,212,108,51%,190,90%,182,86%,0,7,157,18,0,26,0,4,0,2014,2014
"Regency Beauty Institute-Canton (Canton, OH)",For-profit,2016,211,168,80%,200,95%,26,12%,1,0,25,0,0,89,0,96,0,2015,2015
"Brown Mackie College-Kansas City (Lenexa, KS)",For-profit,2017,208,215,64%,184,88%,70,34%,1,4,42,23,0,129,0,9,0,2017,2016
"Bridgeport Hospital School of Nursing (Bridgeport, CT)",Private nonprofit,2017,207,62,34%,173,84%,69,33%,19,9,35,6,0,138,0,0,0,2016,2016
"The Art Institute of Tucson (Tucson, AZ)",For-profit,2017,207,251,69%,98,47%,116,56%,7,6,13,88,0,77,2,11,3,2017,2016
"Regency Beauty Institute-Detroit Southgate (Southgate, MI)",For-profit,2016,207,170,82%,201,97%,70,34%,0,1,55,14,0,48,0,89,0,2015,2015
"ITT Technical Institute-Overland Park (Overland Park, KS)",For-profit,2016,205,141,74%,58,28%,72,35%,4,7,41,15,0,130,5,3,0,2015,2015
"Brown Mackie College-Akron (Akron, OH)",For-profit,2016,204,224,74%,180,88%,56,27%,1,1,50,4,0,142,0,6,0,2017,2016
"American National College (Houston, TX)",For-profit,2015,202,81,40%,191,95%,143,71%,0,0,112,31,0,59,0,0,0,2014,2014
"Career Quest Learning Center-Kalamazoo (Kalamazoo, MI)",For-profit,2015,202,105,52%,164,81%,48,24%,2,3,29,8,0,152,6,2,0,2014,2014
"Plaza Beauty School (Memphis, TN)",For-profit,2014,201,126,63%,196,98%,82,41%,0,1,72,6,0,117,3,2,0,2014,2014
"Regency Beauty Institute-Akron (Akron, OH)",For-profit,2016,200,172,86%,193,97%,58,29%,0,0,57,1,0,44,0,98,0,2015,2015
"Empire Beauty School-Providence (Providence, RI)",For-profit,2015,198,160,81%,180,91%,136,69%,2,4,54,73,0,59,3,3,0,2014,2014
"Minnesota School of Business-Elk River (Elk River, MN)",For-profit,2016,196,122,52%,144,73%,19,10%,0,3,7,8,1,172,0,5,0,2016,2015
"Florida Career College-Kendall (Miami, FL)",For-profit,2017,196,89,52%,139,71%,183,93%,0,1,30,129,0,8,23,5,0,2016,2016
"Empire Beauty School-Ocean (Ocean, NJ)",For-profit,2015,196,108,55%,171,87%,81,41%,1,3,50,27,0,114,0,1,0,2014,2014
"Marinello Schools of Beauty-Manhattan (Manhattan, KS)",For-profit,2016,195,177,80%,188,96%,63,32%,3,2,36,18,2,131,2,1,0,2015,2014
"L'Academie de Cuisine (Gaithersburg, MD)",For-profit,2017,194,73,40%,98,51%,89,46%,0,15,41,17,0,105,16,0,0,2017,2016
"Regency Beauty Institute-Blaine (Blaine, MN)",For-profit,2016,194,135,70%,190,98%,26,13%,2,8,11,5,0,148,0,20,0,2015,2015
"Seacoast Career School-Manchester Campus (Manchester, NH)",For-profit,2018,192,106,55%,178,93%,42,22%,0,10,8,23,0,141,1,9,0,2017,2017
"Globe University-Wausau (Rothschild, WI)",For-profit,2016,192,81,66%,162,84%,17,9%,4,6,1,6,0,173,0,2,0,2016,2015
"O'More College of Design (Franklin, TN)",Private nonprofit,2018,190,51,31%,169,89%,30,16%,2,5,13,4,0,157,6,1,2,2017,2017
"Sanford-Brown Institute-Trevose (Trevose, PA)",For-profit,2014,190,55,34%,161,85%,93,49%,0,7,58,27,0,87,1,10,0,2014,2014
"Fortis Institute-Fort Lauderdale (Lauderdale Lakes, FL)",For-profit,2016,190,108,62%,121,64%,164,86%,1,0,128,29,0,24,6,2,0,2015,2015
"National American University-Burnsville (Burnsville, MN)",For-profit,2018,190,86,73%,136,72%,78,41%,0,10,58,6,0,95,4,17,0,2017,2017
"Huntington School of Beauty Culture-Main Campus (Huntington, WV)",For-profit,2014,189,64,34%,176,93%,30,16%,3,7,12,6,0,158,2,1,0,2013,2013
"Broadview University-Layton (Layton, UT)",For-profit,2016,189,79,63%,138,73%,38,20%,3,4,3,24,2,143,2,8,0,2015,2015
"Regency Beauty Institute-Merrillville (Merrillville, IN)",For-profit,2016,189,147,78%,186,98%,70,37%,0,1,62,7,0,46,0,73,0,2015,2015
"American Commercial College-Wichita Falls (Wichita Falls, TX)",For-profit,2014,188,186,99%,165,88%,86,46%,0,1,52,33,0,102,0,0,0,2013,2013
"Cortiva Institute-Boston (Watertown, MA)",For-profit,2016,187,217,81%,130,70%,36,19%,0,5,12,11,2,79,6,72,0,2016,2015
"Academy for Salon Professionals (Santa Clara, CA)",For-profit,2017,186,109,59%,175,94%,123,66%,1,37,7,73,3,62,2,1,0,2016,2016
"Milan Institute of Cosmetology-San Antonio Walzem (San Antonio, TX)",For-profit,2015,186,118,63%,166,89%,166,89%,0,1,103,59,2,16,1,4,0,2015,2015
"Regency Beauty Institute-Columbus (Columbus, OH)",For-profit,2016,186,160,86%,178,96%,85,46%,1,2,80,2,0,31,0,70,0,2015,2015
"Brown Mackie College-Salina (Salina, KS)",For-profit,2017,185,245,67%,130,70%,65,35%,0,0,35,30,0,120,0,0,0,2017,2016
"Cleveland Institute of Dental-Medical Assistants-Mentor (Mentor, OH)",For-profit,2018,185,125,68%,177,96%,56,30%,0,1,45,10,0,129,0,0,0,2017,2017
"Paul Mitchell the School-Santa Barbara (Santa Barbara, CA)",For-profit,2016,183,78,43%,171,93%,93,51%,4,2,2,81,0,90,4,0,0,2015,2015
"Minnesota School of Business-Rochester (Rochester, MN)",For-profit,2017,183,110,60%,119,65%,21,11%,3,2,6,10,0,136,0,26,0,2016,2015
"Regency Beauty Institute-Westminster (Westminster, CO)",For-profit,2016,183,114,62%,179,98%,35,19%,1,0,5,29,0,76,0,72,0,2015,2015
"Globe University-Sioux Falls (Sioux Falls, SD)",For-profit,2016,183,94,68%,157,86%,31,17%,2,2,17,10,0,142,0,10,0,2016,2015
"Globe University-Eau Claire (Eau Claire, WI)",For-profit,2016,183,106,69%,154,84%,7,4%,3,2,0,2,0,176,0,0,0,2016,2015
"Regency Beauty Institute-Newport News (Newport News, VA)",For-profit,2016,183,156,85%,177,97%,75,41%,2,1,67,5,0,36,0,72,0,2015,2015
"Western Hills School of Beauty and Hair Design (Cincinnati, OH)",For-profit,2018,183,159,87%,179,98%,113,62%,0,2,110,1,0,68,0,2,0,2017,2017
"Lebanon College (Lebanon, NH)",Private nonprofit,2014,182,33,25%,128,70%,15,8%,1,3,2,9,0,145,0,18,4,2014,2013
"Sanford College of Nursing (Bismarck, ND)",Private nonprofit,2015,182,53,39%,162,89%,22,12%,6,0,8,3,1,152,4,8,0,2014,2014
"Southeastern Bible College (Birmingham, AL)",Private nonprofit,2017,182,90,60%,73,40%,72,40%,2,0,66,4,0,107,0,2,1,2016,2016
"Dewey University-Arroyo (Arroyo, PR)",Private nonprofit,2016,182,139,96%,141,77%,182,100%,0,0,0,182,0,0,0,0,0,2015,2015
"Tucson College (Tucson, AZ)",For-profit,2017,182,56,31%,101,55%,131,72%,10,6,14,98,1,48,2,3,0,2017,2017
"SBI Campus-An Affiliate of Sanford-Brown (Melville, NY)",For-profit,2016,182,186,78%,167,92%,42,23%,0,4,10,24,0,17,4,123,0,2016,2015
"Regency Beauty Institute-Flint (Flint, MI)",For-profit,2016,182,152,84%,175,96%,47,26%,0,0,45,2,0,41,0,94,0,2015,2015
"Wolford College (Naples, FL)",For-profit,2018,182,,NA,77,42%,45,25%,0,8,24,13,0,137,0,0,0,2017,NA
"Empire Beauty School-Lowell (Lowell, MA)",For-profit,2015,181,102,56%,173,96%,77,43%,0,15,10,49,0,103,3,1,0,2014,2014
"Broadview Entertainment Arts University (Salt Lake City, UT)",For-profit,2018,180,46,35%,46,26%,43,24%,6,4,14,18,1,130,0,7,0,2017,2017
"Fortis Institute-Jacksonville (Jacksonville, FL)",For-profit,2014,180,115,64%,73,41%,156,87%,0,2,138,16,0,22,0,2,0,2014,2014
"Georgia Beauty Academy (Dalton, GA)",For-profit,2018,179,105,59%,173,97%,51,28%,0,0,11,33,1,127,6,1,0,2017,2017
"Career Training Academy-Monroeville (Monroeville, PA)",For-profit,2017,178,111,62%,165,93%,58,33%,0,0,45,0,0,119,13,1,0,2017,2017
"Ohio Mid-Western College (Cincinnati, OH)",Private nonprofit,2015,177,119,85%,30,17%,122,69%,11,0,102,3,0,45,6,2,8,2014,2014
"The Institute for Health Education (Jersey City, NJ)",For-profit,2015,177,120,68%,158,89%,155,88%,0,5,37,107,6,22,0,0,0,2013,2013
"Olympian Academy of Cosmetology (Tempe, AZ)",For-profit,2017,176,92,52%,152,86%,110,63%,3,2,38,66,0,44,1,22,0,2016,2016
"Regency Beauty Institute-Burnsville (Burnsville, MN)",For-profit,2016,176,98,56%,169,96%,31,18%,1,7,14,9,0,128,0,17,0,2015,2015
"Interface College-Spokane (Spokane, WA)",For-profit,2015,176,120,68%,113,64%,34,19%,4,2,11,8,1,122,8,20,0,2014,2014
"The Art Institute of New York City (New York, NY)",For-profit,2017,176,321,73%,98,56%,140,80%,3,4,57,69,2,13,5,12,11,2017,2016
"Minnesota School of Business-Shakopee (Shakopee, MN)",For-profit,2014,175,64,55%,127,73%,26,15%,4,3,5,14,0,141,0,8,0,2014,2014
"Dorsey Business Schools-Lansing (Lansing, MI)",For-profit,2017,175,59,95%,161,92%,102,58%,0,2,75,11,0,73,14,0,0,2017,2017
"Real Barbers College (Anaheim, CA)",For-profit,2018,174,113,65%,42,24%,157,90%,2,4,15,132,3,16,1,1,0,2017,2017
"Vatterott College-Quincy (Quincy, IL)",For-profit,2018,174,87,78%,60,34%,16,9%,0,0,10,2,0,148,4,10,0,2017,2017
"Salter School-Fall River (Fall River, MA)",For-profit,2018,173,113,65%,153,88%,59,34%,0,2,20,32,0,98,5,16,0,2017,2017
"Regency Beauty Institute-Copperwood (Houston, TX)",For-profit,2016,173,132,76%,167,97%,89,51%,1,3,52,33,0,22,0,62,0,2015,2015
"Tint School of Makeup and Cosmetology-Grand Prairie (Grand Prairie, TX)",For-profit,2016,173,134,77%,169,98%,140,81%,1,1,77,61,0,26,0,7,0,2016,2016
"Regency Beauty Institute-Cypresswood (Spring, TX)",For-profit,2016,173,138,80%,164,95%,64,37%,1,3,45,15,0,35,0,74,0,2015,2015
"The Beauty Institute Schwarzkopf Professional-Boise (Boise, ID)",For-profit,2017,172,110,64%,165,96%,36,21%,2,3,5,25,1,136,0,0,0,2016,2016
"American National University-Cincinnati (Cincinnati, OH)",For-profit,2017,170,77,83%,137,81%,150,88%,0,0,148,0,0,11,2,9,0,2016,2016
"Ridley-Lowell Business & Technical Institute-Danbury (Danbury, CT)",For-profit,2018,169,89,53%,94,56%,73,43%,0,7,18,46,0,90,2,6,0,2017,2017
"Brown Mackie College-Oklahoma City (Oklahoma City, OK)",For-profit,2017,169,178,74%,149,88%,109,64%,10,10,72,16,1,59,0,1,0,2017,2016
"National Academy of Beauty Arts-St Louis (Saint Louis, MO)",For-profit,2017,169,160,95%,163,96%,46,27%,0,3,40,3,0,123,0,0,0,2016,2016
"Fountainhead College of Technology (Knoxville, TN)",For-profit,2018,167,90,83%,32,19%,13,8%,0,1,9,3,0,150,0,4,0,2017,2017
"Antonelli Medical and Professional Institute (Pottstown, PA)",For-profit,2017,166,162,73%,154,93%,49,30%,0,1,39,9,0,117,0,0,0,2017,2016
"Regency Beauty Institute-SW Houston (Houston, TX)",For-profit,2016,166,148,89%,153,92%,97,58%,0,1,88,8,0,8,0,61,0,2015,2015
"Washington County Adult Skill Center (Abingdon, VA)",Public,2016,165,87,53%,78,47%,7,4%,0,0,6,0,1,158,0,0,0,2015,2015
"Le Cordon Bleu College of Culinary Arts-San Francisco (San Francisco, CA)",For-profit,2017,165,144,38%,72,44%,29,18%,2,17,3,6,0,8,1,128,0,2017,2016
"Regency Beauty Institute-Round Rock (Round Rock, TX)",For-profit,2016,165,117,71%,149,90%,36,22%,0,0,20,16,0,40,0,89,0,2015,2015
"University of Phoenix-Harrisburg Campus (Harrisburg, PA)",For-profit,2014,165,94,73%,108,65%,52,32%,2,2,30,7,0,65,11,48,0,2013,2013
"Regency Beauty Institute-Winston-Salem (Winston-Salem, NC)",For-profit,2016,165,145,88%,158,96%,56,34%,3,1,48,4,0,38,0,71,0,2015,2015
"American School of Technology (Columbus, OH)",For-profit,2016,165,390,90%,44,27%,56,34%,0,2,52,2,0,37,0,72,0,2016,2015
"Vantage College-San Antonio (San Antonio, TX)",For-profit,2017,164,92,64%,106,65%,127,77%,0,1,37,89,0,26,0,11,0,2016,2015
"MCI Institute of Technology (West Palm Beach, FL)",For-profit,2015,164,129,79%,110,67%,146,89%,0,0,70,76,0,18,0,0,0,2014,2014
"The Lab-Paul Mitchell Partner School (Ewing, NJ)",For-profit,2016,163,104,50%,144,88%,64,39%,0,1,45,16,0,84,2,15,0,2015,2014
"Fortis Institute-Mulberry (Mulberry, FL)",For-profit,2015,161,76,47%,94,58%,60,37%,1,1,42,16,0,97,0,4,0,2014,2014
"Institute of Design and Construction (Brooklyn, NY)",Private nonprofit,2015,160,48,47%,19,12%,101,63%,0,16,53,31,0,57,1,0,2,2014,2014
"Regency Beauty Institute-Cleveland (Willoughby, OH)",For-profit,2016,160,142,89%,156,98%,67,42%,0,0,67,0,0,12,0,81,0,2015,2015
"Golf Academy of America-Dallas (Farmers Branch, TX)",For-profit,2018,159,30,19%,5,3%,34,21%,1,4,12,16,0,112,1,13,0,2017,2017
"Ridley-Lowell Business & Technical Institute (West Warwick, RI)",For-profit,2018,159,97,64%,150,94%,21,13%,0,0,11,10,0,134,0,4,0,2017,2017
"Vatterott College-Spring Valley (Omaha, NE)",For-profit,2015,158,122,84%,107,68%,66,42%,3,0,48,13,0,88,2,4,0,2015,2015
"John Wesley University (High Point, NC)",Private nonprofit,2018,157,69,54%,85,54%,87,55%,2,2,54,26,0,63,3,3,4,2017,2017
"DeVry University-Kentucky (Louisville, KY)",For-profit,2014,157,78,64%,63,40%,44,28%,0,0,34,5,1,93,4,20,0,2012,2012
"Regency Beauty Institute-South Bend (Mishawaka, IN)",For-profit,2016,157,122,78%,145,92%,34,22%,0,1,25,8,0,45,0,78,0,2015,2015
"Le Cordon Bleu College of Culinary Arts-Minneapolis (Mendota Heights, MN)",For-profit,2017,156,196,49%,80,51%,34,22%,3,6,18,5,1,60,1,62,0,2017,2016
"American Commercial College-San Angelo (San Angelo, TX)",For-profit,2014,155,133,86%,143,92%,105,68%,1,1,9,89,0,50,5,0,0,2013,2013
"DeVry University-Oklahoma (Oklahoma City, OK)",For-profit,2018,154,52,64%,90,58%,79,51%,4,3,54,12,1,68,5,7,0,2017,2017
"ITT Technical Institute-West Covina (San Dimas, CA)",For-profit,2014,154,118,80%,28,18%,138,90%,1,20,9,106,0,12,2,4,0,2014,2014
"Cambria-Rowe Business College-Indiana (Indiana, PA)",For-profit,2016,153,72,77%,126,82%,9,6%,2,0,4,1,0,144,2,0,0,2015,2015
"Houston Training Schools-Southwest (Houston, TX)",For-profit,2018,153,148,97%,148,97%,149,97%,0,7,44,98,0,4,0,0,0,2017,2017
"Northwest Hair Academy (Mount Vernon, WA)",For-profit,2015,152,123,57%,149,98%,64,42%,6,8,7,29,1,86,13,2,0,2015,2014
"Ottawa University-Jeffersonville (Jeffersonville, IN)",Private nonprofit,2017,151,30,54%,113,75%,50,33%,0,3,31,11,0,75,5,26,0,2017,2017
"UEI College-Santa Cruz (Santa Cruz, CA)",For-profit,2015,151,18,8%,49,32%,20,13%,0,0,0,19,0,15,1,116,0,2014,2014
"Empire Beauty School-Laurel Springs (Laurel Springs, NJ)",For-profit,2015,151,95,63%,134,89%,100,66%,0,1,81,17,0,49,1,2,0,2015,2015
"Du Bois Business College-Du Bois (Du Bois, PA)",For-profit,2016,149,45,40%,124,83%,3,2%,0,1,0,1,1,146,0,0,0,2015,2015
